Ticket #,Customer Complaint,Date,Time,Received Via,City,State,Zip code,Filing on Behalf of Someone,Status
250635,Comcast Cable Internet Speeds,22-04-2015,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,No,Closed
223441,Payment disappear - service got disconnected,4/8/2015,10:22:56 AM,Internet,Acworth,Georgia,30102,No,Closed
242732,Speed and Service,18-04-2015,9:55:47 AM,Internet,Acworth,Georgia,30101,Yes,Closed
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,5/7/2015,11:59:35 AM,Internet,Acworth,Georgia,30101,Yes,Open
307175,Comcast not working and no service to boot,26-05-2015,1:25:26 PM,Internet,Acworth,Georgia,30101,No,Solved
338519,ISP Charging for arbitrary data limits with overage fees,6/12/2015,9:59:40 PM,Internet,Acworth,Georgia,30101,No,Solved
361148,Throttling service and unreasonable data caps,24-06-2015,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,No,Pending
359792,Comcast refuses to help troubleshoot and correct my service.,23-06-2015,6:56:14 PM,Internet,Adrian,Michigan,49221,No,Solved
318072,Comcast extended outages,6/1/2015,11:46:30 PM,Customer Care Call,Alameda,California,94502,No,Closed
371214,Comcast Raising Prices and Not Being Available To Ask Why,28-06-2015,6:46:31 PM,Customer Care Call,Alameda,California,94501,Yes,Open
255938,Billing after service was asked to be disconnected,24-04-2015,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,No,Closed
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,5/6/2015,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,No,Closed
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,13-06-2015,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Yes,Open
360178,Internet speed,23-06-2015,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,No,Solved
376268,Internet Disconnects Every Night,30-06-2015,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,No,Solved
370137,Internet complaint,27-06-2015,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,No,Pending
363695,Internet Availability and Speed,24-06-2015,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,No,Solved
238694,Comcast owes me $65 and claims I need to return equipment I never had,16-04-2015,10:04:57 AM,Internet,Alexandria,Virginia,22304,No,Closed
230876,Horrible Internet Service,4/11/2015,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,No,Closed
318725,Failure to provide services that I am billed for.,6/2/2015,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,No,Closed
327657,Internet out all the time but they have a monopoly,6/7/2015,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,No,Solved
328742,horrible cable service and customer service,6/8/2015,3:18:58 PM,Internet,Alexandria,Virginia,22312,No,Solved
328165,Speed,6/8/2015,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,No,Solved
370538,Comcast monopoly bundling practices,27-06-2015,9:04:34 PM,Internet,Alexandria,Virginia,22304,No,Open
370363,COMCAST!,27-06-2015,6:37:29 PM,Internet,Alexandria,Virginia,22305,No,Solved
270163,bait and switch,5/2/2015,3:55:24 PM,Internet,Algonquin,Illinois,60102,Yes,Open
355976,Comcast Customer Service,22-06-2015,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,No,Open
260651,Apartment Management's Exclusivity Contract with Comcast,28-04-2015,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,No,Closed
305340,Unable to reach a Comcast agent for internet and billing issues.,24-05-2015,2:57:47 PM,Customer Care Call,Aloha,Oregon,97006,No,Solved
360759,Wifi internet not working as well,24-06-2015,2:23:23 AM,Internet,Aloha,Oregon,97006,No,Pending
265487,Comcast data caps,29-04-2015,9:40:19 PM,Internet,Alpharetta,Georgia,30022,No,Closed
296608,Comcast Internet Data Cap,19-05-2015,10:56:20 AM,Internet,Alpharetta,Georgia,30022,No,Solved
310990,XFINITY Movers Edge program,28-05-2015,10:37:13 AM,Customer Care Call,Alpharetta,Georgia,30022,No,Solved
325342,Comcast Data Internet Usage,6/5/2015,1:25:58 PM,Internet,Alpharetta,Georgia,30022,No,Solved
337489,Comcast not refunding my credit,6/12/2015,3:59:57 PM,Internet,Alpharetta,Georgia,30005,No,Solved
354116,Comcast,20-06-2015,5:03:09 PM,Internet,Alpharetta,Georgia,30022,No,Solved
371829,No Service,29-06-2015,11:23:38 AM,Internet,Alpharetta,Georgia,30005,No,Closed
373874,Comcast,30-06-2015,12:24:57 AM,Customer Care Call,Alvin,Texas,77511,No,Solved
300824,"INTERNET , BILLING AND SERVIE ISSUES",21-05-2015,9:34:19 AM,Customer Care Call,Ambridge,Pennsylvania,15003,No,Open
348923,Comcast blocking DirecTv signals,18-06-2015,1:50:02 PM,Customer Care Call,Ambridge,Pennsylvania,15003,No,Open
302574,pmts,21-05-2015,8:53:29 PM,Internet,Amesbury,Massachusetts,1913,No,Open
343346,Slow Internet Speed,16-06-2015,1:45:58 PM,Internet,Amherst,New Hampshire,3031,No,Open
286768,not getting what I am paying for with internet,5/12/2015,9:06:01 PM,Customer Care Call,Andover,Minnesota,55304,No,Solved
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,4/8/2015,1:04:24 AM,Internet,Angels Camp,California,95222,No,Closed
235980,isp dishonest about speeds,14-04-2015,8:57:50 PM,Customer Care Call,Angels Camp,California,95222,No,Closed
236469,Deceptive sales- change in billing amount etc.,15-04-2015,10:16:14 AM,Internet,Ann Arbor,Michigan,48104,No,Closed
288602,Comcast Billing Dispute,13-05-2015,6:20:32 PM,Internet,Ann Arbor,Michigan,48105,No,Closed
309379,Comcast,27-05-2015,1:50:37 PM,Internet,Ann Arbor,Michigan,48105,No,Solved
351079,Comcast Billing and Service Issues,19-06-2015,9:19:46 AM,Internet,Ann Arbor,Michigan,48105,No,Solved
366705,Cable prices rising,25-06-2015,6:17:58 PM,Internet,Ann Arbor,Michigan,48103,No,Solved
368705,service issues,26-06-2015,3:56:18 PM,Internet,Annapolis,Maryland,21401,No,Solved
347369,HBO GO on Playstation 4,17-06-2015,8:41:23 PM,Internet,Annville,Pennsylvania,17003,No,Solved
291784,internet connectivity,15-05-2015,1:07:11 PM,Customer Care Call,Anoka,Minnesota,55303,No,Solved
308478,Email issues,26-05-2015,9:45:02 PM,Customer Care Call,Antioch,California,94509,No,Solved
309851,Monopoly,27-05-2015,4:24:46 PM,Internet,Antioch,Tennessee,37013,No,Solved
367342,Complaint against Xfinity/Comcast,26-06-2015,2:38:50 AM,Internet,Aptos,California,95003,No,Closed
227209,Comcast credit after cancellation has not been received after more than a year,4/9/2015,4:40:05 PM,Customer Care Call,Arlington,Virginia,22202,No,Closed
266376,Comcast False Promises,30-04-2015,1:06:52 PM,Internet,Arlington,Virginia,22206,No,Closed
325273,Comcast Blocking UDP Port 443,6/5/2015,1:02:10 PM,Customer Care Call,Arlington,Virginia,22206,Yes,Closed
